Player,Tm,Pos,From,To,Active,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,GPG,APG,PTSPG,SPG,OPS,DPS,PS,G,A,PTS
Wayne Gretzky*\gretzwa01,TOT,C,1979,1999,20,1487,894,1963,2857,520,577,617,204,73,91,5088,17.6,1475,0.60,1.32,1.92,3.42,223.9,27.1,251.0,758,1717,2475
Gordie Howe*\howego01,TOT,RW,1946,1980,26,1767,801,1049,1850,160,1685,566,211,24,121,3803,10.1,,0.45,0.59,1.05,4.13,186.6,30.5,217.1,925,1265,2190
Jaromir Jagr\jagrja01,TOT,RW,1990,2018,24,1733,766,1155,1921,322,1167,538,217,11,135,5637,13.6,23397,0.44,0.67,1.11,3.25,174.9,42.2,217.1,841,1239,2080
Alex Ovechkin\ovechal01,WSH,LW/RW,2005,2021,16,1190,727,588,1315,78,729,457,266,4,116,5700,12.8,24893,0.61,0.49,1.11,4.79,149.7,27.3,176.9,841,652,1493
Mario Lemieux*\lemiema01,PIT,C,1984,2006,17,915,690,1033,1723,114,834,405,236,49,74,3633,19.0,3855,0.75,1.13,1.88,3.97,152.4,15.4,167.9,616,924,1540
Connor McDavid\mcdavco01,EDM,C,2015,2021,6,393,185,353,538,55,134,143,39,3,41,1234,15.0,8477,0.47,0.90,1.37,3.14,52.1,11.9,64.0,221,422,643
Marcel Dionne*\dionnma01,TOT,C,1971,1989,18,1348,731,1040,1771,27,600,478,234,19,73,5363,13.6,,0.54,0.77,1.31,3.98,135.9,19.6,155.5,610,883,1493
Brett Hull*\hullbr01,TOT,RW/LW,1986,2006,19,1269,741,650,1391,23,458,456,265,20,110,4876,15.2,8395,0.58,0.51,1.10,3.84,134.3,20.3,154.6,738,652,1390
Phil Esposito*\esposph01,TOT,C,1963,1981,18,1282,717,873,1590,252,910,448,246,23,118,5166,13.9,,0.56,0.68,1.24,4.03,142.9,20.7,163.7,671,837,1508
Mike Gartner*\gartnmi01,TOT,RW,1979,1998,19,1432,708,627,1335,68,1159,467,217,24,90,5090,13.9,,0.49,0.44,0.93,3.55,100.1,21.8,121.8,609,533,1142
Mark Messier*\messima01,TOT,LW/C,1979,2004,25,1756,694,1193,1887,211,1912,452,179,63,92,4221,16.4,7775,0.40,0.68,1.07,2.40,135.6,24.8,160.4,628,1104,1732
Steve Yzerman*\yzermst01,DET,C/LW,1983,2006,22,1514,692,1063,1755,184,924,440,202,50,94,4602,15.0,7988,0.46,0.70,1.16,3.04,139.4,27.2,166.6,644,1006,1650
Sidney Crosby\crosbsi01,PIT,C,2005,2021,16,1028,479,834,1313,184,693,331,144,4,68,3305,14.5,21421,0.47,0.81,1.28,3.21,130.3,29.2,159.5,548,937,1485
